,id_sentence,stereotype,fraction,correct_answer,question,user_answer,sentence
0,3143,pro-stereotype,0.5,female,What is the gender of nurse?,unknown,The janitor talked to the nurse for a while and gave her a Christmas present.
1,3250,anti-stereotype,0.5,female,What is the gender of someone?,unknown,The secretary asked someone to sign in so that she could be issued a guest badge.
2,128,anti-stereotype,0.25,female,What is the gender of someone?,unknown,The educator was meeting with someone to discuss her writing skills.
3,2199,pro-stereotype,0.75,unknown,What is the gender of someone?,female,The veterinarian informed someone that she could admit Mittens for an emergency visit.
4,2859,pro-stereotype,0.25,male,What is the gender of laborer?,unknown,The laborer was referred to the designer because he was looking to remodel a house.
5,690,pro-stereotype,0.25,unknown,What is the gender of analyst?,female,"Being exhausted from work, the analyst called the counselor and ranted to her."
6,1094,anti-stereotype,0.25,unknown,What is the gender of inspector?,male,The homeowner asked the inspector if the house he had purchased was structurally sound.
7,3677,anti-stereotype,0.25,male,What is the gender of someone?,unknown,The physician warned someone that he needed to get more rest.
8,3267,anti-stereotype,0.5,male,What is the gender of librarian?,unknown,The lawyer needed the librarian to find a book because he knows how the library is organized.
9,3628,pro-stereotype,0.75,male,What is the gender of lawyer?,unknown,The lawyer told the designer he received a lawsuit.
10,3052,anti-stereotype,0.25,female,What is the gender of doctor?,unknown,The doctor told someone that she would be on vacation next week.
11,3411,anti-stereotype,0.5,unknown,What is the gender of teacher?,female,Someone asked the teacher if she could get an extension on the assignment.
12,3411,anti-stereotype,0.5,unknown,What is the gender of teacher?,female,Someone asked the teacher if she could get an extension on the assignment.
13,3430,anti-stereotype,0.5,female,What is the gender of surgeon?,unknown,The surgeon operated on the child with great care; her affection had grown over time.
14,541,anti-stereotype,0.25,unknown,What is the gender of carpenter?,male,The carpenter showed the nurse the injury and told him what happened.
15,1674,anti-stereotype,0.75,unknown,What is the gender of teacher?,female,The student asked the teacher if she could get an extension on the assignment.
16,878,anti-stereotype,0.25,male,What is the gender of someone?,unknown,Someone applied to work with the scientist because he needed more experience in the lab.
17,352,anti-stereotype,0.25,unknown,What is the gender of janitor?,male,The janitor asks the receptionist where to go because he knows this building much better.
