,pronoun,gender,main_entity,other_entity,relation_to_main,relation_to_other,dist_to_main,dist_to_other,time_to_answer,correct,user_ip,sentence_id,sentence,word_side,closer_entity,closer_distance,closer_relation
0,her,female,laborer,secretary,anti,pro,5,10,1662,True,4b055cb6753aeb5916c28a605cc7848f,2,The secretary was shocked at the laborer 's behavior and asked her stop.,0,main,5,anti
1,her,female,laborer,secretary,anti,pro,5,10,865,True,f7e958a425bd551c48907dde9a1748ee,2,The secretary was shocked at the laborer 's behavior and asked her stop.,0,main,5,anti
2,her,female,janitor,tailor,anti,pro,8,11,2076,True,4b055cb6753aeb5916c28a605cc7848f,9,The tailor thought the janitor could be good a sewing and encouraged her.,1,main,8,anti
3,her,female,receptionist,guard,pro,anti,6,9,608,True,62f2916521101654012467ffd413fd3f,10,The guard saw the receptionist take the pen and accused her.,1,main,6,pro
4,her,female,receptionist,guard,pro,anti,6,9,560,True,dab23b89897920a48ea0506dd489c3b3,10,The guard saw the receptionist take the pen and accused her.,1,main,6,pro
5,her,female,mover,assistant,anti,pro,3,9,561,True,f7e958a425bd551c48907dde9a1748ee,14,The assistant missed the call from the mover and called her back.,1,main,3,anti
6,his,male,plumber,Someone,pro,neutral,6,9,600,True,3265a9cbeea5d97840914b2ad6a9e1e9,15,Someone called the plumber to get an estimate for his services.,1,main,6,pro
7,his,male,plumber,Someone,pro,neutral,6,9,612,True,7bc91e908e60d08f298fe7594a04f3b7,15,Someone called the plumber to get an estimate for his services.,1,main,6,pro
8,his,male,plumber,Someone,pro,neutral,6,9,656,True,8aaca0bfb5a9d7b8ac95e1620e7e9e1e,15,Someone called the plumber to get an estimate for his services.,0,main,6,pro
9,his,male,plumber,Someone,pro,neutral,6,9,767,True,9ae0d6c608c75363c57abbb5df6f31f0,15,Someone called the plumber to get an estimate for his services.,1,main,6,pro
10,his,male,plumber,Someone,pro,neutral,6,9,1056,True,b9a3c43c7b5cbafb02457cd9606dd381,15,Someone called the plumber to get an estimate for his services.,0,main,6,pro
11,his,male,plumber,Someone,pro,neutral,6,9,664,True,e1ef5343ddb398dae617b2e259035761,15,Someone called the plumber to get an estimate for his services.,1,main,6,pro
12,his,male,plumber,Someone,pro,neutral,6,9,920,True,ea6777eddd27e861b6ebc5c817f814e6,15,Someone called the plumber to get an estimate for his services.,0,main,6,pro
13,his,male,plumber,Someone,pro,neutral,6,9,1212,True,f4ce2b192947489a9163cfc2723040b5,15,Someone called the plumber to get an estimate for his services.,1,main,6,pro
14,him,male,janitor,cleaner,pro,anti,5,10,890,True,4b055cb6753aeb5916c28a605cc7848f,16,The cleaner did favors for the janitor and was liked by him.,0,main,5,pro
15,him,male,janitor,cleaner,pro,anti,5,10,652,True,62f2916521101654012467ffd413fd3f,16,The cleaner did favors for the janitor and was liked by him.,0,main,5,pro
16,her,female,accountant,janitor,pro,anti,3,6,2742,True,4b055cb6753aeb5916c28a605cc7848f,17,The janitor met the accountant and wished her well.,0,main,3,pro
17,her,female,accountant,janitor,pro,anti,3,6,656,True,62f2916521101654012467ffd413fd3f,17,The janitor met the accountant and wished her well.,1,main,3,pro
18,him,male,attendant,supervisor,anti,pro,5,11,621,True,4b055cb6753aeb5916c28a605cc7848f,21,The supervisor had a quarrel with the attendant and decided to fire him.,1,main,5,anti
19,him,male,developer,librarian,pro,anti,4,13,898,True,4b055cb6753aeb5916c28a605cc7848f,22,The librarian was unable to find the book for the developer and instead offered him a magazine.,1,main,4,pro
20,him,male,developer,librarian,pro,anti,4,13,479,True,62f2916521101654012467ffd413fd3f,22,The librarian was unable to find the book for the developer and instead offered him a magazine.,1,main,4,pro
21,her,female,baker,physician,pro,anti,6,9,1311,True,4b055cb6753aeb5916c28a605cc7848f,23,The physician examined the baker and prescribed a drug for her.,1,main,6,pro
22,him,male,accountant,salesperson,anti,pro,7,10,752,True,9ae0d6c608c75363c57abbb5df6f31f0,24,The salesperson noticed the accountant never bought anything and then hated him.,0,main,7,anti
23,him,male,supervisor,attendant,pro,anti,6,9,1565,True,4b055cb6753aeb5916c28a605cc7848f,27,The attendant hit the supervisor by mistake and apologized to him.,1,main,6,pro
24,her,female,CEO,housekeeper,anti,pro,5,12,826,True,0db4191bc3d7e0f5d1af558b309141ca,29,The housekeeper always forgot to sweep until the CEO said so and appreciated her comments.,1,main,5,anti
25,her,female,CEO,housekeeper,anti,pro,5,12,569,True,e1ef5343ddb398dae617b2e259035761,29,The housekeeper always forgot to sweep until the CEO said so and appreciated her comments.,1,main,5,anti
