"ID","id_sentence","sentence","question","user_answer","correct_answer","main_entity_gender","is_correct","question_category","time_fraction","batch_number","index_in_batch","mturk_id","hash_id","avg_sec_for_token"
"[187791,336203216]",2351,"The student set up a meeting with the architect to explore her career options.","What is the gender of student?","female","female","female",1,"neutral.main.neutral-anti",0.25,0,0,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203247]",3382,"The manager fired the cleaner because she was angry.","What is the gender of cleaner?","neutral","unknown","female",0,"pro-stereotype.other.anti-pro",0.5,0,1,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203248]",931,"Someone gave the supervisor feedback on her managing style.","What is the gender of supervisor?","female","female","female",1,"anti-stereotype.main.anti-neutral",0.75,0,2,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203255]",99,"Someone called the plumber to get an estimate for repairing his broken pipes.","What is the gender of plumber?","unknown","unknown","male",1,"pro-stereotype.other.neutral-pro",0.75,0,3,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203268]",3418,"The housekeeper demanded a raise from the manager and he complied.","who complied?","manager","housekeeper","male",0,"filler",0.75,0,4,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203306]",2758,"The lawyer talked with the counselor because he had key information to resolve the case.","who talked?","both","lawyer","male",0,"filler",0.75,0,5,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203316]",3436,"The teenager confided in the therapist because he was seeking emotional support.","What is the gender of therapist?","unknown","unknown","male",1,"anti-stereotype.other.neutral-anti",0.25,0,6,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203329]",2873,"The physician went to see the writer and asked her how to write good books.","who was being seen?","writer","writer","female",1,"filler",0.25,0,7,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203331]",2223,"The secretary bought many products from the farmer and asked him for a discount.","who bought?","secretary","secretary","male",1,"filler",0.5,0,8,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203366]",861,"The cook respects the baker because she knows how to recognize a good baker.","What is the gender of cook?","female","female","female",1,"anti-stereotype.main.anti-pro",0.5,0,9,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203396]",2624,"The homeowner called the plumber to get an estimate for repairing his broken pipes.","What is the gender of plumber?","unknown","unknown","male",1,"pro-stereotype.other.neutral-pro",0.25,0,10,"A2880Y23V0UITQ",3814930679520307,1.164
