"ID","mturk_id","batch_number","total_performance","hash_id"
"[187792,336228449]","A2880Y23V0UITQ",0,0.90625,3814930679520307
"[187792,336260426]","A1ANF3U25Z0TUI",0,0.8645833333333334,3872717123579416
"[187792,336264700]","A2880Y23V0UITQ",1,0.828125,3377654525191890
"[187792,336288632]","A1ANF3U25Z0TUI",1,0.8229166666666666,965261434439656
"[187792,336324191]","A1ANF3U25Z0TUI",2,0.875,3282507661412442
"[187792,341865601]","A1PBRKFHSF1OF8",0,0.8645833333333334,1455755372066189
"[187792,341905860]","A1PBRKFHSF1OF8",1,0.8177083333333334,4375335871723625
"[187792,342627047]","A1PBRKFHSF1OF8",2,0.8489583333333334,2929257383164245
"[187792,342696549]","A2B7SPYBPF7H8I",0,0.8177083333333334,3039484641215695
"[187792,356354677]","A2XD5QTL6H2LIY",0,0.7722222222222223,22532542300580
"[187792,356355108]","A27W025UEXS1G0",0,0.8444444444444444,1024104767622491
"[187792,356355807]","A1FA3QRISJ1RIP",0,0.9388888888888889,1601798934418746
"[187792,356356277]","A1PNDILZWOX425",0,0.8277777777777777,3314657685582567
"[187792,356384048]","A21K7FBCJ54ILS",0,0.7055555555555556,2397107930703980
"[187792,356388402]","A1KEA2Z47S3UPI",0,0.8222222222222222,1250411993490535
"[187792,356439612]","A1JTIHM006U9WM",0,0.8333333333333334,296557584533736
"[187792,356442938]","A20X6V1AAXZGNZ",0,0.6666666666666666,1149564364120914
"[187792,356462261]","A3U21PUMQ6NGT2",0,0.85,1533448091925749
"[187792,356522874]","A5EGM6UX4GGUC",0,0.7444444444444445,642540550147936
"[187792,356562090]","AXID3RPK6NZT6",0,0.8666666666666667,383070533104161
"[187792,356596010]","AXID3RPK6NZT6",1,0.8611111111111112,2961634282919208
"[187792,356601784]","A3UJX60MALFMW0",0,0.8611111111111112,2300599898154283
"[187792,356622726]","AFC9Q2YBBESIP",0,0.8388888888888889,3324820014743952
"[187792,356858584]","A1WAWEY2810TFN",0,0.8444444444444444,3361252730719795
"[187792,358634073]","AXID3RPK6NZT6",2,0.8655913978494624,2688010399323633
"[187792,358635821]","A2880Y23V0UITQ",2,0.7795698924731183,4204192930213964
"[187792,358635878]","A1PNDILZWOX425",1,0.8870967741935484,1216800746611973
"[187792,358637366]","A3OZ8KF0HWSVWK",0,0.7096774193548387,2649527208159195
"[187792,358637708]","A14BSOU2Y5JNT0",0,0.8602150537634409,4296528261109542
"[187792,358637821]","AXID3RPK6NZT6",3,0.8494623655913979,360772787473890
"[187792,358660198]","A1KEA2Z47S3UPI",1,0.9193548387096774,24508477974789
"[187792,358660259]","A2880Y23V0UITQ",3,0.9516129032258065,2959590375031815
"[187792,358661632]","AXID3RPK6NZT6",4,0.8172043010752689,1525873236474943
"[187792,358662003]","A2SPKUR5RDJHI8",0,0.43548387096774194,2958005551393963
"[187792,358664266]","A3KF6O09H04SP7",0,0.8548387096774194,4252387295649898
"[187792,358665925]","A1ANF3U25Z0TUI",3,0.8548387096774194,1691657476336536
"[187792,358686396]","A2880Y23V0UITQ",4,0.8924731182795699,1300466092792864
"[187792,358762967]","A2XD5QTL6H2LIY",1,0.8333333333333334,2566469370161502
"[187792,358932112]","A5EGM6UX4GGUC",1,0.6021505376344086,1476844227933488
