"ID","mturk_id","batch_number","total_performance","hash_id"
"[226578,395424408]","A1PBRKFHSF1OF8",0,0.6875,902527097787509
"[226578,395426548]","A1KEA2Z47S3UPI",0,0.7791666666666667,3934993302160838
"[226578,395427499]","A20X6V1AAXZGNZ",0,0.6666666666666666,2477913867001673
"[226578,395448035]","A2XD5QTL6H2LIY",0,0.7,1427255112032146
"[226578,395451192]","A1PNDILZWOX425",0,0.6708333333333333,3562388857295715
"[226578,395453751]","A1ANF3U25Z0TUI",0,0.7541666666666667,3950866464148868
"[226578,395460166]","A1PBRKFHSF1OF8",1,0.7583333333333333,75481056448400
"[226578,395465160]","A5EGM6UX4GGUC",0,0.475,2478006212551201
"[226578,395473204]","A1ANF3U25Z0TUI",1,0.7375,2076402741440098
"[226578,395480952]","A2880Y23V0UITQ",0,0.7333333333333333,974760404993263
"[226578,395514315]","A1KEA2Z47S3UPI",1,0.7541666666666667,2086285423110226
"[226578,395573205]","A1KEA2Z47S3UPI",2,0.8083333333333333,4484158607225141
"[226578,395646648]","A1WAWEY2810TFN",0,0.7166666666666667,3413848560305863
"[226578,395648676]","A1FA3QRISJ1RIP",0,0.7916666666666666,670153137196417
"[226578,395780067]","A1PBRKFHSF1OF8",2,0.7416666666666667,1982116770290879
"[226578,395790129]","A1PBRKFHSF1OF8",3,0.7208333333333333,412909197252846
"[226578,396072891]","A5EGM6UX4GGUC",1,0.5166666666666667,2218746286486964
"[226578,396356048]","A21K7FBCJ54ILS",0,0.675,1414470907123322
"[226578,396552134]","AR4S7ZOB9QJYP",0,0.8125,3325005978901296
"[226578,400987319]","A20X6V1AAXZGNZ",1,0.7166666666666667,516757727663642
"[226578,400997110]","A1FA3QRISJ1RIP",1,0.8416666666666667,3089562452722506
"[226578,401030051]","A1PBRKFHSF1OF8",4,0.7375,2560367469674828
"[226578,401050002]","A3KF6O09H04SP7",0,0.775,4430243081703197
"[226578,401085546]","A1KEA2Z47S3UPI",3,0.7541666666666667,2279720902721560
"[226578,401121472]","A1ANF3U25Z0TUI",2,0.7458333333333333,117067334820674
