,pronoun,gender,main_entity,relation_to_main,dist_to_main,time_to_answer,correct,user_ip,sentence_id,sentence,word_side
0,his,his,guard,pro,-5,627.0,True,6fcb4dcbc1410bc056b5762f047c4f29,69,"orders were, the men of his army, either his rear guard or his stragglers, did apply the fire, and that this was a sufficient cause for all else that followed.",0.0
1,his,his,guard,pro,-5,596.0,True,89bb397c8dd69b78571f586522288335,69,"orders were, the men of his army, either his rear guard or his stragglers, did apply the fire, and that this was a sufficient cause for all else that followed.",1.0
2,his,his,guitarist,pro,6,623.0,True,9962e8a878efc4bd41a392780885f015,79,Former lead guitarist Roger Johnson currently works with his wife in publishing.,0.0
3,his,his,director,pro,6,477.0,True,6fcb4dcbc1410bc056b5762f047c4f29,88,"In 1912 he also joined the Board of Directors of the Banca Commerciale Italiana and in 1915, when the then-managing director Otto Joel was removed from his position due to his German origins, which were incompatible with the nationalistic climate following Italian entry into the First World War, he was replaced by Fenoglio himself along together with Giuseppe Toeplitz.",0.0
4,his,his,director,pro,13,682.0,True,48ae7ac422e782d05407dc797ce71979,102,"Morelli was immensely influential in the arts of the second half of the 19th century, both as director of the Accademia di Belle Arti in Naples, but also because of his rebelliousness against institutions: traits that flourished into the passionate, often patriotic, Romantic and later Symbolist subjects of his canvases.",0.0
5,his,his,director,pro,13,973.0,True,95867c05e9a72894b14350a3404bdf78,102,"Morelli was immensely influential in the arts of the second half of the 19th century, both as director of the Accademia di Belle Arti in Naples, but also because of his rebelliousness against institutions: traits that flourished into the passionate, often patriotic, Romantic and later Symbolist subjects of his canvases.",0.0
6,his,his,director,pro,13,654.0,True,9798f23885a95a3a4f0050fa74246a80,102,"Morelli was immensely influential in the arts of the second half of the 19th century, both as director of the Accademia di Belle Arti in Naples, but also because of his rebelliousness against institutions: traits that flourished into the passionate, often patriotic, Romantic and later Symbolist subjects of his canvases.",1.0
7,his,his,director,pro,13,720.0,True,ea6777eddd27e861b6ebc5c817f814e6,102,"Morelli was immensely influential in the arts of the second half of the 19th century, both as director of the Accademia di Belle Arti in Naples, but also because of his rebelliousness against institutions: traits that flourished into the passionate, often patriotic, Romantic and later Symbolist subjects of his canvases.",0.0
8,his,his,guitarist,pro,7,689.0,True,89bb397c8dd69b78571f586522288335,141,Eagles guitarist Joe Walsh plays the song on his solo tours.,1.0
9,his,his,guitarist,pro,7,696.0,True,9962e8a878efc4bd41a392780885f015,141,Eagles guitarist Joe Walsh plays the song on his solo tours.,0.0
10,he,he,guard,pro,15,569.0,True,035bdfe202e3fd359e6a8ba379e88dd4,142,"Leonard, played by producer Randall Winston, is the hospital's security guard who is easily recognizable thanks to his height, giant afro and the hook that he has in place of his right hand.",1.0
11,he,he,guard,pro,15,597.0,True,c17d279da49e709638f42e292543b334,142,"Leonard, played by producer Randall Winston, is the hospital's security guard who is easily recognizable thanks to his height, giant afro and the hook that he has in place of his right hand.",0.0
12,his,his,guitarist,pro,6,651.0,True,5a7bf0314d9c129731caa613db8bc98d,173,Guitarist Salman Ahmad gained fame for his unique style of playing Sufi-style and neoclassical musics in heavy metal form.,0.0
13,his,his,guitarist,pro,6,576.0,True,9962e8a878efc4bd41a392780885f015,173,Guitarist Salman Ahmad gained fame for his unique style of playing Sufi-style and neoclassical musics in heavy metal form.,1.0
14,his,his,guitarist,pro,6,663.0,True,e2b31134ddce117fca635cc6d8b14b03,173,Guitarist Salman Ahmad gained fame for his unique style of playing Sufi-style and neoclassical musics in heavy metal form.,1.0
15,his,his,guitarist,pro,5,554.0,True,035bdfe202e3fd359e6a8ba379e88dd4,176,The Rolling Stones' guitarist Keith Richards wrote in his 2010 autobiography that ``Heartbreak Hotel`` had a huge effect on him.,1.0
16,his,his,director,pro,12,796.0,True,c17d279da49e709638f42e292543b334,192,"Dr. Arnold E. Schaefer, executive director of the International Committee on Nutrition for National Defense (ICNND), dictated his reflections, which I edited, for the symposium, ``Reflections of Dr. Arnold E. Schaefer.",0.0
17,he,he,guard,pro,-4,568.0,True,6fcb4dcbc1410bc056b5762f047c4f29,284,"At a gate on the left, he observed that the guard was thin, and thither he led the first-rank men and spearmen of the second legion.",1.0
18,he,he,guard,pro,-4,877.0,True,95867c05e9a72894b14350a3404bdf78,284,"At a gate on the left, he observed that the guard was thin, and thither he led the first-rank men and spearmen of the second legion.",1.0
19,his,his,director,pro,5,777.0,True,95867c05e9a72894b14350a3404bdf78,327,"In 1958 Asmara became the head of the entertainment magazine ``Varia``, where the fellow director Raden Ariffien served as his deputy.",1.0
20,his,his,director,pro,5,592.0,True,c17d279da49e709638f42e292543b334,327,"In 1958 Asmara became the head of the entertainment magazine ``Varia``, where the fellow director Raden Ariffien served as his deputy.",0.0
21,his,his,guitarist,pro,14,624.0,True,035bdfe202e3fd359e6a8ba379e88dd4,360,"The album propelled the Red Hot Chili Peppers into worldwide popularity and critical acclaim, although guitarist John Frusciante quit the band mid-tour in 1992 (returning in 1998) due to his inability to cope with the band's newly-found superstardom.",0.0
22,his,his,guitarist,pro,14,531.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,360,"The album propelled the Red Hot Chili Peppers into worldwide popularity and critical acclaim, although guitarist John Frusciante quit the band mid-tour in 1992 (returning in 1998) due to his inability to cope with the band's newly-found superstardom.",0.0
23,his,his,guitarist,pro,14,493.0,True,d36520462f0b578647dee8534591e6b2,360,"The album propelled the Red Hot Chili Peppers into worldwide popularity and critical acclaim, although guitarist John Frusciante quit the band mid-tour in 1992 (returning in 1998) due to his inability to cope with the band's newly-found superstardom.",1.0
24,his,his,director,pro,6,454.0,True,6fcb4dcbc1410bc056b5762f047c4f29,376,"Gonzalo LAfA3pez-Gallego (born 27 June 1973) is a Spanish film director who is best known for his movie ``Apollo 18``, a 2011 sci-fi thriller and horror film starring Warren Christie, Lloyd Owen, and Ryan Robbins.",1.0
25,his,his,director,pro,6,567.0,True,c17d279da49e709638f42e292543b334,376,"Gonzalo LAfA3pez-Gallego (born 27 June 1973) is a Spanish film director who is best known for his movie ``Apollo 18``, a 2011 sci-fi thriller and horror film starring Warren Christie, Lloyd Owen, and Ryan Robbins.",1.0
26,his,his,judge,pro,2,799.0,True,ea6777eddd27e861b6ebc5c817f814e6,472,"In 1739-1740, during the Lent circuit of the assizes, Sir Lancelot Allgood, who held positions high sheriff and Member of Parliament sent a message to the Black Bull that the visiting judge and his party would want six bottles of good French wine, and that John Cook should order them in.",1.0
27,his,his,director,pro,4,785.0,True,ea6777eddd27e861b6ebc5c817f814e6,479,The director was praised for his mature handling of the theme and for his realistic portrayal of Goans involved in the tourism industry and also his depiction of the way of life of Goan Christians.,1.0
28,his,his,guard,pro,5,570.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,501,"Sonny and Viti visit a clinic for a sonogram, but leave abruptly when they realize the guard they attacked died of his injuries.",0.0
29,his,his,guard,pro,5,682.0,True,c17d279da49e709638f42e292543b334,501,"Sonny and Viti visit a clinic for a sonogram, but leave abruptly when they realize the guard they attacked died of his injuries.",0.0
30,his,his,guard,pro,5,705.0,True,ea6777eddd27e861b6ebc5c817f814e6,501,"Sonny and Viti visit a clinic for a sonogram, but leave abruptly when they realize the guard they attacked died of his injuries.",0.0
31,he,he,judge,pro,11,731.0,True,d00696adf8dd1f96878d06dbb74a3b48,504,The judge has always had a love/hate relationship with the government as he is always unpredictable in his judgment.,0.0
32,he,he,judge,pro,11,767.0,True,ea6777eddd27e861b6ebc5c817f814e6,504,The judge has always had a love/hate relationship with the government as he is always unpredictable in his judgment.,1.0
33,his,his,director,pro,6,558.0,True,1f7aac2f3a4d09db353aaadba0f57ee0,510,"Lake Daumesnil in Paris had frozen over and director Louis Gasnier filmed Linder in his new attire, with Linder improvising the rest.",0.0
34,his,his,director,pro,6,625.0,True,ea6777eddd27e861b6ebc5c817f814e6,510,"Lake Daumesnil in Paris had frozen over and director Louis Gasnier filmed Linder in his new attire, with Linder improvising the rest.",0.0
35,his,his,director,pro,8,560.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,534,"However, the managing director of Rabaul Shipping, Peter Sharp, had directed his captains to carry 350 passengers and the ship ``routinely`` took aboard passengers in excess of 295.",1.0
36,his,his,director,pro,8,559.0,True,ea6777eddd27e861b6ebc5c817f814e6,534,"However, the managing director of Rabaul Shipping, Peter Sharp, had directed his captains to carry 350 passengers and the ship ``routinely`` took aboard passengers in excess of 295.",0.0
37,his,his,director,pro,2,587.0,True,1f7aac2f3a4d09db353aaadba0f57ee0,539,During this time there was public support for McGonagle and a high profile threats were made to withdraw collections and funding from the gallery should the director lose his position.,1.0
38,his,his,director,pro,2,524.0,True,d648d0b729c06f20aaa219368992a9d1,539,During this time there was public support for McGonagle and a high profile threats were made to withdraw collections and funding from the gallery should the director lose his position.,1.0
39,his,his,director,pro,6,768.0,True,ea6777eddd27e861b6ebc5c817f814e6,571,"On October 1, ``Cloverfield`` director Matt Reeves was confirmed as his replacement.",1.0
40,his,his,judge,pro,10,484.0,True,1f7aac2f3a4d09db353aaadba0f57ee0,590,"The trial judge, Mr Justice Fenton Atkinson, described Brady and Hindley in his closing remarks as ``two sadistic killers of the utmost depravity``.",0.0
41,his,his,judge,pro,10,1170.0,True,c17d279da49e709638f42e292543b334,590,"The trial judge, Mr Justice Fenton Atkinson, described Brady and Hindley in his closing remarks as ``two sadistic killers of the utmost depravity``.",0.0
42,his,his,director,pro,2,679.0,True,ea6777eddd27e861b6ebc5c817f814e6,604,``Oru Iyakkunarin Kadhal Diary`` is a story of a film director and his experience in film industry.,1.0
43,his,his,director,pro,2,562.0,True,1f7aac2f3a4d09db353aaadba0f57ee0,620,In many small to medium-sized theatrical productions the role of technical master will be filled by either the technical director or his assistant.,0.0
44,his,his,director,pro,2,607.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,620,In many small to medium-sized theatrical productions the role of technical master will be filled by either the technical director or his assistant.,1.0
45,his,his,director,pro,8,586.0,True,d648d0b729c06f20aaa219368992a9d1,643,"The director, Roy Ward Baker, was chosen because of his experience with technically demanding productions such as ``A Night to Remember``, this was the first of six films that he directed for Hammer.",1.0
46,his,his,director,pro,2,1380.0,True,d00696adf8dd1f96878d06dbb74a3b48,710,"The director changed his stagename from Venkat Bharadwaj to Subu Venkat, for the Tamil audience.",1.0
47,his,his,director,pro,5,519.0,True,d648d0b729c06f20aaa219368992a9d1,726,Rangers director heavily criticized Mauricio for his behaviour and his contract with the club was terminated shortly after.,0.0
48,he,he,guard,pro,5,609.0,True,f3276b3d2021fd87259810574797f8b4,733,"On March 30, 2009, a security guard wounded three persons when he accidentally fired his service firearm yesterday noon outside E-Mall.",0.0
49,his,his,director,pro,3,795.0,True,d648d0b729c06f20aaa219368992a9d1,743,"A fan of Stanley Kubrick, he is inspired by the documentary research that the director prepared for his films.",0.0
